Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2024-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bosnia and Herzegovina,BIH,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.61727346,33.99303419,36.07361322,37.83100134,39.82454788,39.16334613,38.11861795,39.03266972,37.36555806,39.94627298,36.4782077,34.90102361,33.88992529,34.49934747,34.05216892,38.36146594,34.85890441,33.42377051,
Belarus,BLR,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.63043478,36.36548223,29.94098803,28.74171149,27.72345561,27.21440449,25.90434388,27.05876677,25.3401651,26.8710549,24.67838383,28.212817,29.26987626,30.25076267,32.41348478,34.65778225,33.95036114,31.77383626,30.20748043,25.44929942,27.62242276,28.25469648,27.41049205,28.1104398,29.4170538,29.32166086,28.16371144,28.58836922,29.92813968,27.8747723,28.26899841,
Belize,BLZ,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.58323541,12.67026542,13.60734938,14.73096476,15.92536583,14.16309698,14.14333337,14.51115428,14.2948456,14.6077395,13.1028521,14.4710172,14.20234225,16.26664498,19.29297985,18.68761746,19.59162728,18.01659156,18.29877903,19.89383301,19.83312583,20.04316575,18.49357262,18.98882807,19.55937856,20.60159529,21.2621657,22.33749349,,,,,,
Bermuda,BMU,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,11.97145433,12.16757962,11.67923727,13.06453712,14.19206572,14.52844115,17.56200121,20.37739178,18.97610045,17.70680035,18.83226288,19.68885401,19.67629728,20.50412027,20.55364901,24.24491693,28.78443546,28.20763789,27.21119872,25.98315306,23.93803925,21.81104336,,,,,,,,,,,,,,,,
Brazil,BRA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.70145308,31.30647345,30.79409896,30.83633765,32.06939945,36.92441983,36.49160113,36.24765387,35.45399989,34.78745284,38.48116103,31.79387854,34.13446098,
Barbados,BRB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.98426546,25.79474525,28.10381316,26.89727277,29.24617507,30.86364363,33.97901178,34.31633586,32.23864313,35.42009999,35.39371955,33.34169643,35.1152026,33.69759885,,,,,,,
Brunei Darussalam,BRN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,15.92728882,14.47672143,16.84747331,21.85991446,17.52494584,,22.10526576,21.3313653,21.42391379,20.44510904,18.99815954,18.45971178,20.35232678,21.03129125,24.33697373,20.38763607,17.83801641,18.98849631,18.28688226,19.38259469,17.7532055,17.69301955,16.23258645,18.80228589,18.3739035,17.51044881,21.55057024,22.12311231,20.56294652,20.52587674,19.21334895,18.93322224,17.29511786,18.18466989,17.87775767,17.620357,19.38750303,16.63073905,24.07616025,,,
Botswana,BWA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.68160259,27.84054198,30.49874827,32.627981,29.0775366,30.62405637,28.96263706,,,,,,,,,,29.33337406,31.14923311,35.75121467,39.17516129,33.51560763,29.78676055,31.52007898,29.48597481,29.13240487,31.24309418,26.78113923,28.15498424,29.06441565,28.80054499,33.85871112,28.38828769,25.09141855,
Central African Republic,CAF,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.661628513,,,,11.00607294,15.86417939,16.33666477,13.46409037,8.184471906,,8.271974001,9.306558442,9.021345527,8.676798601,10.12335334,9.939339098,13.97330661,11.66138983,,
Canada,CAN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1003248,25.36632216,25.53379842,25.13503347,23.74907194,23.43038475,22.34512708,20.37104626,20.17438937,19.75609103,18.77451827,18.71100491,17.96308413,18.03733357,17.26591721,17.82398793,17.02769125,16.96278032,17.08335345,18.85417104,19.08470714,17.850268,17.51751993,17.08488216,16.40204983,17.05977868,17.49860407,17.60659541,17.54090045,18.10570968,28.57147361,22.66563851,18.49653555,
Central Europe and the Baltics,CEB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.215575,41.35180318,42.16727336,38.89553699,38.71082669,39.04456001,38.60464322,38.44819415,38.40324263,38.45638796,36.59724908,35.96668463,35.5741209,34.91459591,35.62324659,38.24030037,37.85330844,36.9174412,36.64662448,37.33065301,36.82884431,36.07391929,35.93078903,34.92877427,34.52829232,35.12707757,40.93891483,39.00647483,37.64439595,
Switzerland,CHE,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,11.10222764,12.38713992,13.02497531,15.15081607,16.98722478,17.23841462,16.94249031,17.03958348,16.65723824,15.99755092,16.7314185,17.14714481,17.23297627,,,,,,14.03592607,15.08791161,16.39223354,17.58273364,17.67921387,17.62113587,18.30433332,18.52898741,18.52228977,19.2106708,18.51653179,17.52021834,19.48195046,18.34159852,18.17016792,17.82223131,16.89172212,16.35430431,15.83978512,16.91858252,16.71974454,16.63767918,16.52192618,16.78876201,16.7192645,17.06744466,17.24082285,17.21621714,16.71822365,16.8530605,20.04319548,19.0104794,16.65979572,
Channel Islands,CHI,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,32.44654229,26.54552396,24.03864265,27.70868627,25.66646022,27.21099977,26.95947559,24.13358352,24.20896586,25.45239288,30.72887091,29.06825168,29.7165247,25.73844036,24.03797315,21.09005851,19.25058831,17.70936194,16.8206083,17.12810939,16.59373675,16.59825824,15.98163956,15.12415692,15.7384446,15.86497447,17.22639417,18.71400385,20.1386805,20.05712306,20.09262508,19.3366627,18.20831091,17.21097499,15.88672696,16.04140477,18.41113242,21.31146817,20.20818345,19.49450957,19.92485452,20.1963012,20.67525226,21.63481488,22.12686348,22.34725647,22.61798701,23.31519871,26.24219288,30.79875848,24.05455473,
China,CHN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52369493,41.41376955,40.91077743,40.44420085,38.38361541,37.02215267,36.80224648,35.95319075,39.66488351,37.15936053,32.6825352,
Cote d'Ivoire,CIV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.294120536,9.082615197,10.31902592,10.10725848,10.52812941,9.752675212,10.66139804,11.01987893,10.47867653,10.6252444,9.6098391,11.32156047,9.930601641,9.216327497,13.45459122,13.4001933,14.94720599,14.73704178,13.62710865,16.03206832,16.37735712,18.610332,
Cameroon,CMR,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.55678835,15.80893336,14.92942781,9.899861323,9.062694796,8.868303699,,,10.12098266,10.40393868,,,,,,,,,,,,,12.75274736,12.93540897,12.86031482,12.42131877,11.90005313,10.52723731,11.36738251,12.32292075,12.06029395,12.4278936,,
